"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,Huobi/BCH_BTC 交易对接收参数如下：最大持仓量 50000 ，买卖操作的粒度 30 ，当前持仓平均价格/指导买入价格 0.09 ，平台买卖手续费（ 0.002 0.002 ），交易对价格/数量小数位（ 6 4 ），限价单最小交易数量 0.001 ，指导买入点 0.03 ，指导卖出点 0.1
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/BCH_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-12-16 10:00:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1025899 的价格卖出 30 个币，当前持仓总量 555.5549 动态买入点 0.1 baseSellPrice 0.09
2017-12-16 10:00:00,Huobi,1,卖出,市价,30,
2017-12-16 10:00:20,,,收益,0.376092,,
2017-12-16 10:00:20,,,信息,,,Huobi/BCH_BTC 交易对订单 1 交易成功!平均卖出价格： 0.1027419 ，平均持仓价格： 0.09 ，卖出数量： 30 ，毛收盈： 0.376092 ，累计毛收盈： 0.376092
2017-12-18 22:29:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1184239 的价格卖出 39.47463333333333 个币，当前持仓总量 525.5549 动态买入点 0.095 baseSellPrice 0.1027419
2017-12-18 22:29:00,Huobi,2,卖出,市价,39.4746333333333,
2017-12-18 22:29:20,,,收益,1.277643,,
2017-12-18 22:29:20,,,信息,,,Huobi/BCH_BTC 交易对订单 2 交易成功!平均卖出价格： 0.1130649 ，平均持仓价格： 0.09 ，卖出数量： 39.4746 ，毛收盈： 0.901551 ，累计毛收盈： 1.2776429999999999
2017-12-19 00:25:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1244099 的价格卖出 41.46996666666667 个币，当前持仓总量 486.0803 动态买入点 0.09 baseSellPrice 0.1130649
2017-12-19 00:25:00,Huobi,3,卖出,市价,41.4699666666667,
2017-12-19 00:25:20,,,收益,2.555798,,
2017-12-19 00:25:20,,,信息,,,Huobi/BCH_BTC 交易对订单 3 交易成功!平均卖出价格： 0.1210634 ，平均持仓价格： 0.09 ，卖出数量： 41.4699 ，毛收盈： 1.278155 ，累计毛收盈： 2.555798
2017-12-20 01:48:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1327502 的价格卖出 44.25006666666667 个币，当前持仓总量 444.6104 动态买入点 0.08499999999999999 baseSellPrice 0.1210634
2017-12-20 01:48:00,Huobi,4,卖出,市价,44.2500666666667,
2017-12-20 01:48:20,,,收益,4.423412,,
2017-12-20 01:48:20,,,信息,,,Huobi/BCH_BTC 交易对订单 4 交易成功!平均卖出价格： 0.1324709 ，平均持仓价格： 0.09 ，卖出数量： 44.25 ，毛收盈： 1.867614 ，累计毛收盈： 4.423412
2017-12-20 04:00:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1443349 的价格卖出 48.11163333333334 个币，当前持仓总量 400.3604 动态买入点 0.07999999999999999 baseSellPrice 0.1324709
2017-12-20 04:00:00,Huobi,5,卖出,市价,48.1116333333333,
2017-12-20 04:00:20,,,收益,7.023663,,
2017-12-20 04:00:20,,,信息,,,Huobi/BCH_BTC 交易对订单 5 交易成功!平均卖出价格： 0.1443349 ，平均持仓价格： 0.09 ，卖出数量： 48.1116 ，毛收盈： 2.600251 ，累计毛收盈： 7.023663
2017-12-20 05:48:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1599189 的价格卖出 53.30630000000001 个币，当前持仓总量 352.2488 动态买入点 0.07499999999999998 baseSellPrice 0.1443349
2017-12-20 05:48:00,Huobi,6,卖出,市价,53.3063,
2017-12-20 05:48:20,,,收益,10.674254,,
