"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,Huobi/BCH_BTC 交易对接收参数如下：最大持仓量 50000 ，买卖操作的粒度 40 ，当前持仓平均价格/指导买入价格 0.09 ，平台买卖手续费（ 0.002 0.002 ），交易对价格/数量小数位（ 6 4 ），限价单最小交易数量 0.001 ，指导买入点 0.03 ，指导卖出点 0.1
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/BCH_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-12-15 23:00:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1085741 的价格卖出 40 个币，当前持仓总量 555.5549 动态买入点 0.1 baseSellPrice 0.09
2017-12-15 23:00:00,Huobi,1,卖出,市价,40,
2017-12-15 23:00:20,,,收益,0.266288,,
2017-12-15 23:00:20,,,信息,,,Huobi/BCH_BTC 交易对订单 1 交易成功!平均卖出价格： 0.0968509 ，平均持仓价格： 0.09 ，卖出数量： 40 ，毛收盈： 0.266288 ，累计毛收盈： 0.266288
2018-01-05 00:00:20,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1645099 的价格卖出 73.11551111111112 个币，当前持仓总量 515.5549 动态买入点 0.095 baseSellPrice 0.0968509
2018-01-05 00:00:20,Huobi,2,卖出,市价,73.1155111111111,
2018-01-05 00:02:00,,,收益,5.69006,,
2018-01-05 00:02:00,,,信息,,,Huobi/BCH_BTC 交易对订单 2 交易成功!平均卖出价格： 0.1645099 ，平均持仓价格： 0.09 ，卖出数量： 73.1155 ，毛收盈： 5.423772 ，累计毛收盈： 5.69006
2018-01-10 12:53:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1799999 的价格卖出 79.99995555555556 个币，当前持仓总量 442.4394 动态买入点 0.09 baseSellPrice 0.1645099
2018-01-10 12:53:00,Huobi,3,卖出,市价,79.9999555555556,
2018-01-10 12:55:00,,,收益,12.861243,,
2018-01-10 12:55:00,,,信息,,,Huobi/BCH_BTC 交易对订单 3 交易成功!平均卖出价格： 0.1799999 ，平均持仓价格： 0.09 ，卖出数量： 79.9999 ，毛收盈： 7.171183 ，累计毛收盈： 12.861243
2018-01-11 06:29:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1979999 的价格卖出 87.99995555555556 个币，当前持仓总量 362.4395 动态买入点 0.08499999999999999 baseSellPrice 0.1799999
2018-01-11 06:29:00,Huobi,4,卖出,市价,87.9999555555556,
2018-01-11 06:30:00,,,收益,22.330375,,
2018-01-11 06:30:00,,,信息,,,Huobi/BCH_BTC 交易对订单 4 交易成功!平均卖出价格： 0.1979999 ，平均持仓价格： 0.09 ，卖出数量： 87.9999 ，毛收盈： 9.469132 ，累计毛收盈： 22.330375
2018-01-15 18:53:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1729999 的价格卖出 76.88884444444446 个币，当前持仓总量 274.4396 动态买入点 0.07999999999999999 baseSellPrice 0.1979999
2018-01-15 18:53:00,Huobi,5,卖出,市价,76.8888444444445,
2018-01-15 18:55:00,,,收益,28.685534,,
2018-01-15 18:55:00,,,信息,,,Huobi/BCH_BTC 交易对订单 5 交易成功!平均卖出价格： 0.1729999 ，平均持仓价格： 0.09 ，卖出数量： 76.8888 ，毛收盈： 6.355159 ，累计毛收盈： 28.685534
2018-01-15 19:10:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1708779 的价格卖出 75.94573333333332 个币，当前持仓总量 197.5508 动态买入点 0.07499999999999998 baseSellPrice 0.1729999
2018-01-15 19:10:00,Huobi,6,卖出,市价,75.9457333333333,
2018-01-15 19:12:00,,,收益,34.801908,,
