"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-10-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-10-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-10-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-10-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-10-01 00:00:00,,,信息,,,"Huobi/ETC_BTC 交易对接收参数如下： {""MaxCoinLimit"":30000,""MinCoinLimit"":0,""OperateFineness"":350,""NowCoinPrice"":0.003,""BuyFee"":0.002,""SellFee"":0.002,""PriceDecimalPlace"":6,""StockDecimalPlace"":4,""BuyPoint"":0.05,""AddPointInBuy"":0.008,""SellPoint"":0.2,""AddPointInSell"":-0.005,""CanKeepPosition"":1,""HistoryHighPoint"":0.0083,""HistoryLowPoint"":0.001,""Debug"":0,""TradeLimits"":{""LPOMinAmount"":0.01,""LPOMaxAmount"":10000,""MPOMinBuyAmount"":0.0001,""MPOMaxBuyAmount"":1000,""MPOMinSellAmount"":0.01,""MPOMaxSellAmount"":10000}}"
2017-10-01 00:00:00,,,信息,,,匹配到交易对： Huobi/ETC_BTC
2017-10-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-10-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-10-16 13:46:00,,,信息,,,当前基准买入价格 0.003 上次买入价格 0 动态买入点 0.05 当前持仓总量 0
2017-10-16 13:46:00,,,信息,,,Huobi/ETC_BTC交易对准备以 0.0020921 的价格买入 350 个币，当前账户余额为： 19.7863 。本次下单金额 0.732235 ，本次预期买入数量 350 ，预期成交价格 0.0020921
2017-10-16 13:46:00,Huobi,1,买入,市价,0.732235,
2017-10-16 13:50:00,,,信息,,,Huobi/ETC_BTC 交易对订单 1 买入交易已经成功!成交均价： 0.0020921 ，挂单买入： 0.7322 ，买到数量： 349.2832
2017-10-16 13:50:00,,,信息,,,Huobi/ETC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.002096 ，总持仓数量： 349.2832 ，总持币成本： 0.732197
2017-10-19 18:46:00,,,信息,,,当前基准买入价格 0.0020921 上次买入价格 0.0020921 动态买入点 0.058 当前持仓总量 349.2832
2017-10-19 18:46:00,,,信息,,,Huobi/ETC_BTC交易对准备以 0.0019611 的价格买入 480.65219465648886 个币，当前账户余额为： 19.05410314 。本次下单金额 0.9426070189408403 ，本次预期买入数量 480.65219465648886 ，预期成交价格 0.0019611
2017-10-19 18:46:00,Huobi,2,买入,市价,0.94260701894084,
2017-10-19 18:50:00,,,信息,,,Huobi/ETC_BTC 交易对订单 2 买入交易已经成功!成交均价： 0.0019611 ，挂单买入： 0.9426 ，买到数量： 479.6873
2017-10-19 18:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-10-19 18:50:00,,,信息,,,Huobi/ETC_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-10-19 18:50:00,,,信息,,,Huobi/ETC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.00202 ，总持仓数量： 828.9705 ，总持币成本： 1.674694
2017-10-21 10:37:05,,,信息,,,当前基准买入价格 0.0019611 上次买入价格 0.0019611 动态买入点 0.066 当前持仓总量 828.9705
2017-10-21 10:37:05,,,信息,,,Huobi/ETC_BTC交易对准备以 0.0017001 的价格买入 715.8262376237624 个币，当前账户余额为： 18.11150695 。本次下单金额 1.2169761865841584 ，本次预期买入数量 715.8262376237624 ，预期成交价格 0.0017001
2017-10-21 10:37:05,Huobi,3,买入,市价,1.21697618658416,
2017-10-21 10:58:00,,,信息,,,Huobi/ETC_BTC 交易对订单 3 买入交易已经成功!成交均价： 0.0017001 ，挂单买入： 1.2169 ，买到数量： 714.3498
2017-10-21 10:58:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-10-21 10:58:00,,,信息,,,Huobi/ETC_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-10-21 10:58:00,,,信息,,,Huobi/ETC_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.001874 ，总持仓数量： 1543.3202999999999 ，总持币成本： 2.891415
