"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2017-12-01 00:00:00,,,信息,,,启动多交易对现货长线量化价值投资策略程序...
2017-12-01 00:00:00,,,信息,,,准备解析传入的JSON参数...
2017-12-01 00:00:00,,,信息,,,JSON格式检测通过...
2017-12-01 00:00:00,,,信息,,,JSON转成JS对像成功，传入交易对参数有 1 对...
2017-12-01 00:00:00,,,信息,,,"Huobi/BCH_BTC 交易对接收参数如下： {""MaxCoinLimit"":50000,""MinCoinLimit"":0,""OperateFineness"":15,""NowCoinPrice"":0.14,""BuyFee"":0.002,""SellFee"":0.002,""PriceDecimalPlace"":6,""StockDecimalPlace"":4,""BuyPoint"":0.05,""AddPointInBuy"":0.008,""SellPoint"":0.2,""AddPointInSell"":-0.005,""CanKeepPosition"":1,""HistoryHighPoint"":0.23,""HistoryLowPoint"":0.05,""Debug"":0,""TradeLimits"":{""LPOMinAmount"":0.001,""LPOMaxAmount"":10000,""MPOMinBuyAmount"":0.001,""MPOMaxBuyAmount"":1000,""MPOMinSellAmount"":0.001,""MPOMaxSellAmount"":10000}}"
2017-12-01 00:00:00,,,信息,,,匹配到交易对： Huobi/BCH_BTC
2017-12-01 00:00:00,,,信息,,,成功匹配到 1 个交易对。
2017-12-01 00:00:00,,,信息,,,开始执行主事务程序...
2017-12-04 19:32:00,,,信息,,,当前基准买入价格 0.14 上次买入价格 0 动态买入点 0.05 当前持仓总量 0
2017-12-04 19:32:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1325611 的价格买入 15 个币，当前账户余额为： 50 。本次下单金额 1.9884164999999998 ，本次预期买入数量 15 ，预期成交价格 0.1325611
2017-12-04 19:32:00,Huobi,1,买入,市价,1.9884165,
2017-12-04 19:36:00,,,信息,,,Huobi/BCH_BTC 交易对订单 1 买入交易已经成功!成交均价： 0.1325611 ，挂单买入： 1.9884 ，买到数量： 14.9698
2017-12-04 19:36:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.132826 ，总持仓数量： 14.9698 ，总持币成本： 1.988382
2017-12-06 06:37:05,,,信息,,,当前基准买入价格 0.1325611 上次买入价格 0.1325611 动态买入点 0.058 当前持仓总量 14.9698
2017-12-06 06:37:05,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1232141 的价格买入 21.29571996446479 个币，当前账户余额为： 48.01161801 。本次下单金额 2.623932969273561 ，本次预期买入数量 21.29571996446479 ，预期成交价格 0.1232141
2017-12-06 06:37:05,Huobi,2,买入,市价,2.62393296927356,
2017-12-06 06:58:00,,,信息,,,Huobi/BCH_BTC 交易对订单 2 买入交易已经成功!成交均价： 0.1232141 ，挂单买入： 2.6239 ，买到数量： 21.2528
2017-12-06 06:58:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-12-06 06:58:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-12-06 06:58:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.127331 ，总持仓数量： 36.2226 ，总持币成本： 4.612261
2017-12-06 14:20:00,,,信息,,,当前基准买入价格 0.1232141 上次买入价格 0.1232141 动态买入点 0.066 当前持仓总量 36.2226
2017-12-06 14:20:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1146434 的价格买入 24.864623697292878 个币，当前账户余额为： 45.3877361 。本次下单金额 2.8505650003782264 ，本次预期买入数量 24.864623697292878 ，预期成交价格 0.1146434
2017-12-06 14:20:00,Huobi,3,买入,市价,2.85056500037823,
2017-12-06 14:24:00,,,信息,,,Huobi/BCH_BTC 交易对订单 3 买入交易已经成功!成交均价： 0.1146434 ，挂单买入： 2.8505 ，买到数量： 24.8142
2017-12-06 14:24:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-12-06 14:24:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-12-06 14:24:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.122266 ，总持仓数量： 61.0368 ，总持币成本： 7.462734
2017-12-07 04:58:00,,,信息,,,当前基准买入价格 0.1146434 上次买入价格 0.1146434 动态买入点 0.07400000000000001 当前持仓总量 61.0368
2017-12-07 04:58:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1041841 的价格买入 31.41577298676656 个币，当前账户余额为： 42.53726228 。本次下单金额 3.273024034430586 ，本次预期买入数量 31.41577298676656 ，预期成交价格 0.1041841
2017-12-07 04:58:00,Huobi,4,买入,市价,3.27302403443059,
2017-12-07 05:00:00,,,信息,,,Huobi/BCH_BTC 交易对订单 4 买入交易已经成功!成交均价： 0.1041841 ，挂单买入： 3.273 ，买到数量： 31.3526
2017-12-07 05:00:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-12-07 05:00:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-12-07 05:00:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.116201 ，总持仓数量： 92.3894 ，总持币成本： 10.735701
2017-12-07 08:32:00,,,信息,,,当前基准买入价格 0.1041841 上次买入价格 0.1041841 动态买入点 0.08200000000000002 当前持仓总量 92.3894
2017-12-07 08:32:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.0939331 的价格买入 38.57081006187554 个币，当前账户余额为： 39.26428698 。本次下单金额 3.6230757586231617 ，本次预期买入数量 38.57081006187554 ，预期成交价格 0.0939331
2017-12-07 08:32:00,Huobi,5,买入,市价,3.62307575862316,
2017-12-07 08:36:00,,,信息,,,Huobi/BCH_BTC 交易对订单 5 买入交易已经成功!成交均价： 0.0939331 ，挂单买入： 3.623 ，买到数量： 38.4928
2017-12-07 08:36:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-12-07 08:36:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-12-07 08:36:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.109707 ，总持仓数量： 130.8822 ，总持币成本： 14.35872
2017-12-07 18:46:00,,,信息,,,当前基准买入价格 0.0939331 上次买入价格 0.0939331 动态买入点 0.09000000000000002 当前持仓总量 130.8822
2017-12-07 18:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.0846951 的价格买入 45.778405206595764 个币，当前账户余额为： 35.64130745 。本次下单金额 3.8772066068131488 ，本次预期买入数量 45.778405206595764 ，预期成交价格 0.0846951
2017-12-07 18:46:00,Huobi,6,买入,市价,3.87720660681315,
2017-12-07 18:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 6 买入交易已经成功!成交均价： 0.0846951 ，挂单买入： 3.8772 ，买到数量： 45.6867
2017-12-07 18:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-12-07 18:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-12-07 18:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.103279 ，总持仓数量： 176.5689 ，总持币成本： 18.235872
2017-12-08 06:46:00,,,信息,,,当前基准买入价格 0.0846951 上次买入价格 0.0846951 动态买入点 0.09800000000000003 当前持仓总量 176.5689
2017-12-08 06:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.0760001 的价格买入 53.82685056981574 个币，当前账户余额为： 31.76412894 。本次下单金额 4.090846025991053 ，本次预期买入数量 53.82685056981574 ，预期成交价格 0.0760001
2017-12-08 06:46:00,Huobi,7,买入,市价,4.09084602599105,
2017-12-08 06:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 7 买入交易已经成功!成交均价： 0.0760001 ，挂单买入： 4.0908 ，买到数量： 53.7185
2017-12-08 06:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-12-08 06:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-12-08 06:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.096951 ，总持仓数量： 230.28740000000002 ，总持币成本： 22.326636
2017-12-08 12:00:00,,,信息,,,满足时K线跌超22.22% 加仓到 0.75396604710588 %的条件，可以操作买入
2017-12-08 12:00:00,,,信息,,,Huobi/BCH_BTC交易对当前需要快速操作买入加仓到 0.75396604710588 ，预计花费 16.2754847025
2017-12-08 12:00:00,Huobi,8,买入,市价,16.2754847025,
2017-12-08 12:04:00,,,信息,,,Huobi/BCH_BTC 交易对订单 8 买入交易已经成功!成交均价： 0.0809991 ，挂单买入： 16.2754 ，买到数量： 200.5311
2017-12-08 12:04:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-12-08 12:04:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-12-08 12:04:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.089601 ，总持仓数量： 430.8185 ，总持币成本： 38.601918
2017-12-08 12:04:00,,,信息,,,发生了超跌抄底，不操作以下代码，直接退出
2017-12-08 12:32:00,,,信息,,,Huobi/BCH_BTC交易对在超跌抄底买入了 200.53109999999998 个币，抄底价格具有持仓优势，当前回升超过8成，继续持仓
2017-12-08 13:46:00,,,信息,,,满足时K线跌超16.27% 加仓到 0.9 %的条件，可以操作买入
2017-12-08 13:46:00,,,信息,,,Huobi/BCH_BTC交易对当前需要快速操作买入加仓到 0.9 ，预计花费 6.553186145000005
2017-12-08 13:46:00,Huobi,9,买入,市价,6.55318614500001,
2017-12-08 13:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 9 买入交易已经成功!成交均价： 0.0860001 ，挂单买入： 6.5531 ，买到数量： 76.0463
2017-12-08 13:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2017-12-08 13:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2017-12-08 13:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.089087 ，总持仓数量： 506.86479999999995 ，总持币成本： 45.154838
2017-12-08 13:50:00,,,信息,,,发生了超跌抄底，不操作以下代码，直接退出
2017-12-08 15:46:00,,,信息,,,Huobi/BCH_BTC交易对在超跌抄底买入了 76.04630000000003 个币，抄底价格具有持仓优势，当前回升超过8成，继续持仓
2017-12-20 03:58:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1443349 的价格卖出 15 个币，当前持仓总量 506.8648 动态卖出点 0.2 基准卖出价 0.089087
2017-12-20 03:58:00,Huobi,10,卖出,市价,15,
2017-12-20 04:00:00,,,收益,0.824388,,
2017-12-20 04:00:00,,,信息,,,Huobi/BCH_BTC 交易对订单 10 交易成功!平均卖出价格： 0.1443349 ，平均持仓价格： 0.089087 ，卖出数量： 15 ，毛收盈： 0.824388 ，累计毛收盈： 0.824388
2017-12-20 08:32:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1861665 的价格卖出 31.345735067967272 个币，当前持仓总量 491.8648 动态卖出点 0.195 基准卖出价 0.1443349
2017-12-20 08:32:00,Huobi,11,卖出,市价,31.3457350679673,
2017-12-20 08:36:00,,,收益,3.855742,,
2017-12-20 08:36:00,,,信息,,,Huobi/BCH_BTC 交易对订单 11 交易成功!平均卖出价格： 0.1861665 ，平均持仓价格： 0.089087 ，卖出数量： 31.3457 ，毛收盈： 3.031354 ，累计毛收盈： 3.855742
2017-12-20 09:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2243389 的价格卖出 37.773002795020595 个币，当前持仓总量 460.5191 动态卖出点 0.19 基准卖出价 0.1861665
2017-12-20 09:46:00,Huobi,12,卖出,市价,37.7730027950206,
2017-12-20 09:50:00,,,收益,8.947664,,
2017-12-20 09:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 12 交易成功!平均卖出价格： 0.2243389 ，平均持仓价格： 0.089087 ，卖出数量： 37.773 ，毛收盈： 5.091922 ，累计毛收盈： 8.947664
2017-12-21 00:00:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2262879 的价格卖出 38.101165153164885 个币，当前持仓总量 422.7461 动态卖出点 0.185 基准卖出价 0.2243389
2017-12-21 00:00:00,Huobi,13,卖出,市价,38.1011651531649,
2017-12-21 00:04:00,,,收益,14.157926,,
2017-12-21 00:04:00,,,信息,,,Huobi/BCH_BTC 交易对订单 13 交易成功!平均卖出价格： 0.2262879 ，平均持仓价格： 0.089087 ，卖出数量： 38.1011 ，毛收盈： 5.210262 ，累计毛收盈： 14.157926
2017-12-21 00:04:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2246334 的价格卖出 37.822589154422076 个币，当前持仓总量 384.645 动态卖出点 0.18 基准卖出价 0.2262879
2017-12-21 00:04:00,Huobi,14,卖出,市价,37.8225891544221,
2017-12-21 00:08:00,,,收益,19.267637,,
2017-12-21 00:08:00,,,信息,,,Huobi/BCH_BTC 交易对订单 14 交易成功!平均卖出价格： 0.2246334 ，平均持仓价格： 0.089087 ，卖出数量： 37.8225 ，毛收盈： 5.109711 ，累计毛收盈： 19.267637
2017-12-21 00:08:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2251849 的价格卖出 37.915447820669684 个币，当前持仓总量 346.8225 动态卖出点 0.175 基准卖出价 0.2246334
2017-12-21 00:08:00,Huobi,15,卖出,市价,37.9154478206697,
2017-12-21 00:12:00,,,收益,24.410767,,
2017-12-21 00:12:00,,,信息,,,Huobi/BCH_BTC 交易对订单 15 交易成功!平均卖出价格： 0.2251849 ，平均持仓价格： 0.089087 ，卖出数量： 37.9154 ，毛收盈： 5.14313 ，累计毛收盈： 24.410767
2017-12-21 00:12:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2240819 的价格卖出 37.729730488174475 个币，当前持仓总量 308.9071 动态卖出点 0.16999999999999998 基准卖出价 0.2251849
2017-12-21 00:12:00,Huobi,16,卖出,市价,37.7297304881745,
2017-12-21 00:20:00,,,收益,29.487175,,
2017-12-21 00:20:00,,,信息,,,Huobi/BCH_BTC 交易对订单 16 交易成功!平均卖出价格： 0.2240819 ，平均持仓价格： 0.089087 ，卖出数量： 37.7297 ，毛收盈： 5.076408 ，累计毛收盈： 29.487175
2017-12-21 00:24:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2315011 的价格卖出 38.978936320675295 个币，当前持仓总量 271.1774 动态卖出点 0.16499999999999998 基准卖出价 0.2240819
2017-12-21 00:24:00,Huobi,17,卖出,市价,38.9789363206753,
2017-12-21 00:32:00,,,收益,35.020273,,
2017-12-21 00:32:00,,,信息,,,Huobi/BCH_BTC 交易对订单 17 交易成功!平均卖出价格： 0.2315011 ，平均持仓价格： 0.089087 ，卖出数量： 38.9789 ，毛收盈： 5.533098 ，累计毛收盈： 35.020273
2017-12-21 00:36:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2407751 的价格卖出 40.54044361130131 个币，当前持仓总量 232.1985 动态卖出点 0.15999999999999998 基准卖出价 0.2315011
2017-12-21 00:36:00,Huobi,18,卖出,市价,40.5404436113013,
2017-12-21 00:46:00,,,收益,41.150247,,
2017-12-21 00:46:00,,,信息,,,Huobi/BCH_BTC 交易对订单 18 交易成功!平均卖出价格： 0.2407751 ，平均持仓价格： 0.089087 ，卖出数量： 40.5404 ，毛收盈： 6.129974 ，累计毛收盈： 41.150247
2017-12-21 00:50:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2467244 的价格卖出 41.542155421105214 个币，当前持仓总量 191.6581 动态卖出点 0.15499999999999997 基准卖出价 0.2407751
2017-12-21 00:50:00,Huobi,19,卖出,市价,41.5421554211052,
2017-12-21 00:54:00,,,收益,47.678337,,
2017-12-21 00:54:00,,,信息,,,Huobi/BCH_BTC 交易对订单 19 交易成功!平均卖出价格： 0.2467244 ，平均持仓价格： 0.089087 ，卖出数量： 41.5421 ，毛收盈： 6.52809 ，累计毛收盈： 47.678337
2017-12-21 00:54:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2484509 的价格卖出 41.83285440075432 个币，当前持仓总量 150.116 动态卖出点 0.14999999999999997 基准卖出价 0.2467244
2017-12-21 00:54:00,Huobi,20,卖出,市价,41.8328544007543,
2017-12-21 00:58:00,,,收益,54.324188,,
2017-12-21 00:58:00,,,信息,,,Huobi/BCH_BTC 交易对订单 20 交易成功!平均卖出价格： 0.2484509 ，平均持仓价格： 0.089087 ，卖出数量： 41.8328 ，毛收盈： 6.645851 ，累计毛收盈： 54.324188
2017-12-21 00:58:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2449979 的价格卖出 41.25145644145611 个币，当前持仓总量 108.2832 动态卖出点 0.14499999999999996 基准卖出价 0.2484509
2017-12-21 00:58:00,Huobi,21,卖出,市价,41.2514564414561,
2017-12-21 01:00:00,,,收益,60.735518,,
2017-12-21 01:00:00,,,信息,,,Huobi/BCH_BTC 交易对订单 21 交易成功!平均卖出价格： 0.2449979 ，平均持仓价格： 0.089087 ，卖出数量： 41.2514 ，毛收盈： 6.41133 ，累计毛收盈： 60.735518
2017-12-21 01:00:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2449969 的价格卖出 41.251288066721294 个币，当前持仓总量 67.0318 动态卖出点 0.13999999999999996 基准卖出价 0.2449979
2017-12-21 01:00:00,Huobi,22,卖出,市价,41.2512880667213,
2017-12-21 01:37:05,,,收益,67.146776,,
2017-12-21 01:37:05,,,信息,,,Huobi/BCH_BTC 交易对订单 22 交易成功!平均卖出价格： 0.2449969 ，平均持仓价格： 0.089087 ，卖出数量： 41.2512 ，毛收盈： 6.411258 ，累计毛收盈： 67.146776
2017-12-21 03:04:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.2373386 的价格卖出 25.7806 个币，当前持仓总量 25.7806 动态卖出点 0.13499999999999995 基准卖出价 0.2449969
2017-12-21 03:04:00,Huobi,23,卖出,市价,25.7806,
2017-12-21 03:08:00,,,收益,70.956554,,
2017-12-21 03:08:00,,,信息,,,Huobi/BCH_BTC 交易对订单 23 交易成功!平均卖出价格： 0.2373386 ，平均持仓价格： 0.089087 ，卖出数量： 25.7806 ，毛收盈： 3.809778 ，累计毛收盈： 70.956554
2017-12-21 03:08:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.163213
2017-12-21 03:08:00,,,信息,,,当前已经完成平仓，但最后的持仓均价过高，适当降底买入指导价以减小未来买入成本。从 0.163213 调到 0.14169175
2017-12-21 03:20:00,,,信息,,,当前已经完成平仓，但最后的持仓均价过高，适当降底买入指导价以减小未来买入成本。从 0.14169175 调到 0.14
2017-12-21 04:12:00,,,信息,,,满足时K线跌超20% 加仓到 0.2 %的条件，可以操作买入
2017-12-21 04:12:00,,,信息,,,Huobi/BCH_BTC交易对当前需要快速操作买入加仓到 0.2 ，预计花费 24.191315356000004
2017-12-21 04:12:00,Huobi,24,买入,市价,24.191315356,
2017-12-21 04:20:00,,,信息,,,Huobi/BCH_BTC 交易对订单 24 买入交易已经成功!成交均价： 0.1981901 ，挂单买入： 24.1913 ，买到数量： 121.8168
2017-12-21 04:20:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.198586 ，总持仓数量： 121.8168 ，总持币成本： 24.19117
2017-12-21 05:20:00,,,信息,,,Huobi/BCH_BTC交易对超跌抄底买入了 121.8168 个币，抄底价格不具有持仓优势，当前回升超过8成，操作平仓
2017-12-21 05:20:00,Huobi,25,卖出,市价,121.8168,
2017-12-21 05:24:00,,,收益,73.625441,,
2017-12-21 05:24:00,,,信息,,,Huobi/BCH_BTC 交易对订单 25 交易成功!平均卖出价格： 0.2209369 ，平均持仓价格： 0.198586 ，卖出数量： 121.8168 ，毛收盈： 2.668887 ，累计毛收盈： 73.625441
2017-12-21 05:24:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.209761
2017-12-21 05:24:00,,,信息,,,Huobi/BCH_BTC交易对已经完成了超跌抄底的平仓工作。
2017-12-21 05:24:00,,,信息,,,当前已经完成平仓，但最后的持仓均价过高，适当降底买入指导价以减小未来买入成本。从 0.209761 调到 0.14
2018-01-15 19:20:00,,,信息,,,满足时K线跌超15% 加仓到 0.15 %的条件，可以操作买入
2018-01-15 19:20:00,,,信息,,,Huobi/BCH_BTC交易对当前需要快速操作买入加仓到 0.15 ，预计花费 18.5438108625
2018-01-15 19:20:00,Huobi,26,买入,市价,18.5438108625,
2018-01-15 19:24:00,,,信息,,,Huobi/BCH_BTC 交易对订单 26 买入交易已经成功!成交均价： 0.1512781 ，挂单买入： 18.5438 ，买到数量： 122.3356
2018-01-15 19:24:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.151581 ，总持仓数量： 122.3356 ，总持币成本： 18.543711
2018-01-15 19:32:00,,,信息,,,满足时K线跌超40% 加仓到 0.6 %的条件，可以操作买入
2018-01-15 19:32:00,,,信息,,,Huobi/BCH_BTC交易对当前需要快速操作买入加仓到 0.6 ，预计花费 56.900968332
2018-01-15 19:32:00,Huobi,27,买入,市价,56.900968332,
2018-01-15 19:36:00,,,信息,,,Huobi/BCH_BTC 交易对订单 27 买入交易已经成功!成交均价： 0.1256391 ，挂单买入： 56.9009 ，买到数量： 451.9858
2018-01-15 19:36:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-01-15 19:36:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-01-15 19:36:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.131363 ，总持仓数量： 574.3214 ，总持币成本： 75.444416
2018-01-15 19:46:00,,,信息,,,满足时K线跌超70% 加仓到 0.9 %的条件，可以操作买入
2018-01-15 19:46:00,,,信息,,,Huobi/BCH_BTC交易对当前需要快速操作买入加仓到 0.9 ，预计花费 37.619714728
2018-01-15 19:46:00,Huobi,28,买入,市价,37.619714728,
2018-01-15 19:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 28 买入交易已经成功!成交均价： 0.1000001 ，挂单买入： 37.6197 ，买到数量： 375.4442
2018-01-15 19:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-01-15 19:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-01-15 19:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.119044 ，总持仓数量： 949.7656000000001 ，总持币成本： 113.064129
2018-01-15 19:50:00,,,信息,,,Huobi/BCH_BTC交易对准备以大约 0.1462711 的价格卖出 29.4346 个币，当前持仓总量 949.7656 动态卖出点 0.2 基准卖出价 0.119044
2018-01-15 19:50:00,Huobi,29,卖出,市价,29.4346,
2018-01-15 19:54:00,,,收益,74.418249,,
2018-01-15 19:54:00,,,信息,,,Huobi/BCH_BTC 交易对订单 29 交易成功!平均卖出价格： 0.1462711 ，平均持仓价格： 0.119044 ，卖出数量： 29.4346 ，毛收盈： 0.792808 ，累计毛收盈： 74.41824899999999
2018-01-15 19:58:00,,,信息,,,Huobi/BCH_BTC交易对超跌抄底买入了 920.331 个币，抄底价格不具有持仓优势，当前回升超过8成，操作平仓
2018-01-15 19:58:00,Huobi,30,卖出,市价,920.331,
2018-01-15 20:00:00,,,收益,113.373569,,
2018-01-15 20:00:00,,,信息,,,Huobi/BCH_BTC 交易对订单 30 交易成功!平均卖出价格： 0.1616949 ，平均持仓价格： 0.119044 ，卖出数量： 920.331 ，毛收盈： 38.95532 ，累计毛收盈： 113.37356899999999
2018-01-15 20:00:00,,,信息,,,Huobi/BCH_BTC 交易对空仓至最小持币量，将指导买入价调整为 0.140369
2018-01-15 20:00:00,,,信息,,,Huobi/BCH_BTC交易对已经完成了超跌抄底的平仓工作。
2018-01-15 20:00:00,,,信息,,,当前已经完成平仓，但最后的持仓均价过高，适当降底买入指导价以减小未来买入成本。从 0.140369 调到 0.14
2018-02-02 14:46:00,,,信息,,,当前基准买入价格 0.14 上次买入价格 0.14 动态买入点 0.05 当前持仓总量 0
2018-02-02 14:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1317971 的价格买入 38.8985 个币，当前账户余额为： 163.37350927 。本次下单金额 5.12670949435 ，本次预期买入数量 38.8985 ，预期成交价格 0.1317971
2018-02-02 14:46:00,Huobi,31,买入,市价,5.12670949435,
2018-02-02 14:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 31 买入交易已经成功!成交均价： 0.1317971 ，挂单买入： 5.1267 ，买到数量： 38.8206
2018-02-02 14:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.132061 ，总持仓数量： 38.8206 ，总持币成本： 5.126675
2018-02-06 23:46:00,,,信息,,,当前基准买入价格 0.1317971 上次买入价格 0.1317971 动态买入点 0.058 当前持仓总量 38.8206
2018-02-06 23:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1227081 的价格买入 54.87687308342359 个币，当前账户余额为： 158.24683389 。本次下单金额 6.73383683000805 ，本次预期买入数量 54.87687308342359 ，预期成交价格 0.1227081
2018-02-06 23:46:00,Huobi,32,买入,市价,6.73383683000805,
2018-02-06 23:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 32 买入交易已经成功!成交均价： 0.1227081 ，挂单买入： 6.7338 ，买到数量： 54.7667
2018-02-06 23:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-02-06 23:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
2018-02-06 23:50:00,,,信息,,,Huobi/BCH_BTC 交易对当前买入计入核算，长线持仓价格调整到： 0.126731 ，总持仓数量： 93.5873 ，总持币成本： 11.860446
2018-02-28 17:46:00,,,信息,,,当前基准买入价格 0.1227081 上次买入价格 0.1227081 动态买入点 0.066 当前持仓总量 93.5873
2018-02-28 17:46:00,,,信息,,,Huobi/BCH_BTC交易对准备以 0.1140771 的价格买入 64.53261487631283 个币，当前账户余额为： 151.51307555 。本次下单金额 7.361693560506627 ，本次预期买入数量 64.53261487631283 ，预期成交价格 0.1140771
2018-02-28 17:46:00,Huobi,33,买入,市价,7.36169356050663,
2018-02-28 17:50:00,,,信息,,,Huobi/BCH_BTC 交易对订单 33 买入交易已经成功!成交均价： 0.1140771 ，挂单买入： 7.3616 ，买到数量： 64.4026
2018-02-28 17:50:00,,,信息,,,短线交易开闭处于关闭状态，不做短线交易
2018-02-28 17:50:00,,,信息,,,Huobi/BCH_BTC 交易对现在不允许做短线交易操作，现将直接按长线买入计入长线核算。
